'august 14 1733', '1733-08-14'
'17 september 1732', '1732-09-17'
'november 19 1692', '1692-11-19'
'wednesday april 19 2034', '2034-04-19'
'february 17 1566', '1566-02-17'
'sun 31 mar 1867', '1867-03-31'
'march 30 1731', '1731-03-30'
'jun 7 1701', '1701-06-07'
'4 april 1984', '1984-04-04'
'1542 3 jul', '1542-07-03'
'30 july 1678', '1678-07-30'
'dec 7 1992', '1992-12-07'
'sat 21 jan 1928', '1928-01-21'
'january 21 1741', '1741-01-21'
'21 january 2048', '2048-01-21'
'jan 18 1635', '1635-01-18'
'september 30 1978', '1978-09-30'
'1755 26 january', '1755-01-26'
'29 april 1904', '1904-04-29'
'friday september 23 1622', '1622-09-23'
'tue 2 sep 1856', '1856-09-02'
'22 jul 1947', '1947-07-22'
'saturday 9 october 1819', '1819-10-09'
'sun 20 jun 1762', '1762-06-20'
'august 25 1877', '1877-08-25'
'friday november 10 1843', '1843-11-10'
'30 march 1796', '1796-03-30'
'1533 3 jul', '1533-07-03'
'october 17 1595', '1595-10-17'
'monday april 6 1868', '1868-04-06'
'sunday february 1 1778', '1778-02-01'
'oct 24 2062', '2062-10-24'
'08/03/1980', '1980-03-08'
'1668 14 oct', '1668-10-14'
'3/9/27', '1927-03-09'
'april 20 1672', '1672-04-20'
'aug 10 1830', '1830-08-10'
'8 dec 1826', '1826-12-08'
'thursday 1751 24 06', '1751-06-24'
'18 august 2067', '2067-08-18'
'april 3 1811', '1811-04-03'
'thursday 1894 7 06', '1894-06-07'
'july 21 1962', '1962-07-21'
'nov 10 1580', '1580-11-10'
'tuesday october 16 2012', '2012-10-16'
'september 21 1541', '1541-09-21'
'23 august 1796', '1796-08-23'
'29 march 1777', '1777-03-29'
'1736 28 mar', '1736-03-28'
'27 february 1633', '1633-02-27'
'23 april 1585', '1585-04-23'
'february 14 1647', '1647-02-14'
'sat 28 oct 2034', '2034-10-28'
'30 june 1954', '1954-06-30'
'apr 5 1721', '1721-04-05'
'28 march 1852', '1852-03-28'
'august 31 1800', '1800-08-31'
'monday september 25 1775', '1775-09-25'
'1702 31 aug', '1702-08-31'
'dec 24 2027', '2027-12-24'
'saturday october 2 1621', '1621-10-02'
'25 january 1792', '1792-01-25'
'16 august 1799', '1799-08-16'
'feb 27 1996', '1996-02-27'
'2 nov 1836', '1836-11-02'
'jul 8 1812', '1812-07-08'
'may 11 1712', '1712-05-11'
'thursday 6 may 1621', '1621-05-06'
'june 30 1759', '1759-06-30'
'4 october 1890', '1890-10-04'
'monday 18 may 1992', '1992-05-18'
'thursday july 18 1715', '1715-07-18'
'feb 4 1576', '1576-02-04'
'12 oct 2041', '2041-10-12'
'mar 13 1994', '1994-03-13'
'16 october 1531', '1531-10-16'
'aug 23 1534', '1534-08-23'
'21 october 1659', '1659-10-21'
'thursday january 1 1903', '1903-01-01'
'tue 1851 29 april', '1851-04-29'
'thursday 1564 29 10', '1564-10-29'
'2019 21 january', '2019-01-21'
'wednesday june 25 1924', '1924-06-25'
'dec 14 1958', '1958-12-14'
'april 26 1929', '1929-04-26'
'june 14 1962', '1962-06-14'
'june 1 1596', '1596-06-01'
'may 18 1901', '1901-05-18'
'jun 20 1935', '1935-06-20'
'sunday november 22 1908', '1908-11-22'
'dec 26 2001', '2001-12-26'
'thursday 15 november 1934', '1934-11-15'
'september 14 1714', '1714-09-14'
'jun 8 1523', '1523-06-08'
'august 22 1643', '1643-08-22'
'nov 19 1767', '1767-11-19'
'monday 11 february 1630', '1630-02-11'
'22 january 1629', '1629-01-22'
'19/05/1862', '1862-05-19'
'thursday june 28 1838', '1838-06-28'
'9 december 2040', '2040-12-09'
'saturday november 8 1738', '1738-11-08'
'wednesday 1840 27 05', '1840-05-27'
'24/01/1652', '1652-01-24'
'jun 6 1989', '1989-06-06'
'1576 3 may', '1576-05-03'
'december 15 2045', '2045-12-15'
'12/4/24', '1724-12-04'
'19 june 1809', '1809-06-19'
'april 27 1753', '1753-04-27'
'5 march 1589', '1589-03-05'
'sat 1878 26 january', '1878-01-26'
'november 25 1529', '1529-11-25'
'24 jan 1768', '1768-01-24'
'december 31 1882', '1882-12-31'
'8 may 1818', '1818-05-08'
'january 12 1622', '1622-01-12'
'sat 1636 7 june', '1636-06-07'
'1724 10 jan', '1724-01-10'
'2032 26 jun', '2032-06-26'
'1750 2 july', '1750-07-02'
'17/05/1770', '1770-05-17'
'wed 1902 18 june', '1902-06-18'
'26/07/1738', '1738-07-26'
'1732 12 jun', '1732-06-12'
'11 september 1815', '1815-09-11'
'saturday january 4 1986', '1986-01-04'
'dec 2 1725', '1725-12-02'
'26 april 1680', '1680-04-26'
'sunday 1728 4 04', '1728-04-04'
'jan 8 1808', '1808-01-08'
'wednesday january 19 2028', '2028-01-19'
'20 march 1547', '1547-03-20'
'12 jul 1710', '1710-07-12'
'01/03/1689', '1689-03-01'
'1688 11 january', '1688-01-11'
'1582 8 february', '1582-02-08'
'november 16 2014', '2014-11-16'
'oct 5 1779', '1779-10-05'
'monday march 27 1724', '1724-03-27'
'8 november 1906', '1906-11-08'
'1776 4 oct', '1776-10-04'
'thu 1951 15 march', '1951-03-15'
'monday june 26 1544', '1544-06-26'
'12/20/61', '1961-12-20'
'mar 19 1734', '1734-03-19'
'11/07/1592', '1592-07-11'
'wednesday may 9 1691', '1691-05-09'
'fri 1963 24 may', '1963-05-24'
'december 19 1802', '1802-12-19'
'april 23 1880', '1880-04-23'
'thu 11 feb 1954', '1954-02-11'
'january 15 1859', '1859-01-15'
'march 13 1839', '1839-03-13'
'mon 27 sep 1926', '1926-09-27'
'october 26 2012', '2012-10-26'
'23 may 1854', '1854-05-23'
'07/07/1775', '1775-07-07'
'aug 18 1938', '1938-08-18'
'saturday 1 march 1760', '1760-03-01'
'august 19 2059', '2059-08-19'
'december 3 1734', '1734-12-03'
'07/04/1655', '1655-04-07'
'1711 18 jul', '1711-07-18'
'18 december 1537', '1537-12-18'
'august 20 2057', '2057-08-20'
'tuesday january 4 1870', '1870-01-04'
'apr 21 1645', '1645-04-21'
'september 18 1647', '1647-09-18'
'feb 11 1657', '1657-02-11'
'22/02/1676', '1676-02-22'
'6 may 1634', '1634-05-06'
'apr 14 1991', '1991-04-14'
'15/07/2067', '2067-07-15'
'may 1 1944', '1944-05-01'
'january 9 1747', '1747-01-09'
'wed 1656 27 december', '1656-12-27'
'monday november 16 1587', '1587-11-16'
'november 2 1734', '1734-11-02'
'7 february 1720', '1720-02-07'
'07/03/1993', '1993-03-07'
'feb 22 1541', '1541-02-22'
'november 29 1909', '1909-11-29'
'1546 14 july', '1546-07-14'
'4/8/66', '2066-04-08'
'9 may 2027', '2027-05-09'
'1651 1 jun', '1651-06-01'
'23 may 1709', '1709-05-23'
'may 8 1831', '1831-05-08'
'july 23 1609', '1609-07-23'
'aug 25 1946', '1946-08-25'
'january 7 2059', '2059-01-07'
'monday january 19 2037', '2037-01-19'
'jun 25 2050', '2050-06-25'
'thursday october 6 1853', '1853-10-06'
'monday february 8 1712', '1712-02-08'
'tuesday october 9 1962', '1962-10-09'
'wednesday may 1 1613', '1613-05-01'
'march 12 1689', '1689-03-12'
'mar 31 1961', '1961-03-31'
'aug 29 1655', '1655-08-29'
'28 december 1834', '1834-12-28'
'1954 3 november', '1954-11-03'
'24 february 2049', '2049-02-24'
'friday july 10 1564', '1564-07-10'
'july 2 2071', '2071-07-02'
'11 may 1593', '1593-05-11'
'march 24 1942', '1942-03-24'
'29 february 1672', '1672-02-29'
'1908 1 apr', '1908-04-01'
'thursday 1891 30 07', '1891-07-30'
'13 apr 1715', '1715-04-13'
'september 13 1704', '1704-09-13'
'11 august 1587', '1587-08-11'
'18 march 1737', '1737-03-18'
'april 6 1702', '1702-04-06'
'thu 1927 23 june', '1927-06-23'
'thursday june 15 1634', '1634-06-15'
'14 august 1710', '1710-08-14'
'jun 29 1609', '1609-06-29'
'jan 13 1958', '1958-01-13'
'27 february 1695', '1695-02-27'
'september 15 1568', '1568-09-15'
'7 june 1926', '1926-06-07'
'23 september 1549', '1549-09-23'
'jan 4 1771', '1771-01-04'
'sun 30 nov 1890', '1890-11-30'
'february 4 1620', '1620-02-04'
'fri 30 dec 1594', '1594-12-30'
'sep 1 2058', '2058-09-01'
'9 march 1884', '1884-03-09'
'fri 22 apr 1825', '1825-04-22'
'12 august 1640', '1640-08-12'
'26 jun 1987', '1987-06-26'
'oct 24 1845', '1845-10-24'
'friday may 17 1907', '1907-05-17'
'april 11 1544', '1544-04-11'
'thursday 1855 8 11', '1855-11-08'
'24 november 1978', '1978-11-24'
'september 27 1929', '1929-09-27'
'21 february 2056', '2056-02-21'
'monday january 20 1997', '1997-01-20'
'3 june 1662', '1662-06-03'
'february 25 2065', '2065-02-25'
'19 dec 1691', '1691-12-19'
'august 3 1872', '1872-08-03'
'jan 13 1826', '1826-01-13'
'29 april 1933', '1933-04-29'
'july 19 1794', '1794-07-19'
'sun 29 may 1904', '1904-05-29'
'sunday 1692 28 12', '1692-12-28'
'thursday september 7 1972', '1972-09-07'
'thu 1545 4 january', '1545-01-04'
'nov 30 1882', '1882-11-30'
'6 november 2014', '2014-11-06'
'september 28 1941', '1941-09-28'
'18 jul 1922', '1922-07-18'
'1695 11 january', '1695-01-11'
'may 28 1939', '1939-05-28'
'1534 14 may', '1534-05-14'
'1536 28 jun', '1536-06-28'
'friday 28 september 2063', '2063-09-28'
'february 1 1559', '1559-02-01'
'monday february 16 2037', '2037-02-16'
'sun 30 oct 1960', '1960-10-30'
'fri 25 dec 1778', '1778-12-25'
'july 27 1901', '1901-07-27'
'thu 1736 20 december', '1736-12-20'
'1628 21 sep', '1628-09-21'
'1905 23 jul', '1905-07-23'
'mon 22 feb 1745', '1745-02-22'
'23 august 1769', '1769-08-23'
'26 january 1815', '1815-01-26'
'1996 12 july', '1996-07-12'
'21 december 1601', '1601-12-21'
'25 july 1722', '1722-07-25'
'mon 1604 13 september', '1604-09-13'
'28/07/1650', '1650-07-28'
'june 22 1877', '1877-06-22'
'january 5 1964', '1964-01-05'
'20 june 1819', '1819-06-20'
'monday august 24 1903', '1903-08-24'
'jan 20 1732', '1732-01-20'
'may 2 1939', '1939-05-02'
'november 19 1543', '1543-11-19'
'wed 1800 17 september', '1800-09-17'
'5 october 1572', '1572-10-05'
'february 12 1921', '1921-02-12'
'5 september 1724', '1724-09-05'
'mar 3 1549', '1549-03-03'
'december 16 1923', '1923-12-16'
'apr 29 1537', '1537-04-29'
'9 october 1885', '1885-10-09'
'saturday 1938 22 01', '1938-01-22'
'10/03/1592', '1592-03-10'
'november 12 1608', '1608-11-12'
'thursday 1626 12 11', '1626-11-12'
'sunday 14 january 1849', '1849-01-14'
'january 21 1580', '1580-01-21'
'14 jul 1635', '1635-07-14'
'august 1 1599', '1599-08-01'
'june 29 1924', '1924-06-29'
'saturday 1847 30 01', '1847-01-30'
'saturday 15 february 1851', '1851-02-15'
'26/01/1599', '1599-01-26'
'july 28 2008', '2008-07-28'
'sunday june 12 1785', '1785-06-12'
'1856 16 nov', '1856-11-16'
'28 mar 1529', '1529-03-28'
'december 25 1800', '1800-12-25'
'27 september 1729', '1729-09-27'
'tuesday september 3 1563', '1563-09-03'
'2 july 1653', '1653-07-02'
'tue 1821 14 august', '1821-08-14'
'tuesday february 10 1553', '1553-02-10'
'1950 10 apr', '1950-04-10'
'1765 26 august', '1765-08-26'
'february 15 1996', '1996-02-15'
'sat 1614 11 january', '1614-01-11'
'june 26 1638', '1638-06-26'
'february 7 1766', '1766-02-07'
'saturday march 13 1745', '1745-03-13'
'august 15 2058', '2058-08-15'
'thursday august 30 1849', '1849-08-30'
'1912 31 mar', '1912-03-31'
'mon 21 jul 2036', '2036-07-21'
'december 16 1969', '1969-12-16'
'18 july 1532', '1532-07-18'
'nov 11 1953', '1953-11-11'
'july 28 2015', '2015-07-28'
'20/08/1845', '1845-08-20'
'wednesday august 19 1581', '1581-08-19'
'april 23 1858', '1858-04-23'
'friday july 29 1605', '1605-07-29'
'29 jul 2021', '2021-07-29'
'fri 15 feb 2036', '2036-02-15'
'5 september 1711', '1711-09-05'
'11/15/73', '1873-11-15'
'19/08/1963', '1963-08-19'
'1795 5 january', '1795-01-05'
'saturday september 7 1686', '1686-09-07'
'11 august 2012', '2012-08-11'
'friday 1999 22 10', '1999-10-22'
'may 8 1750', '1750-05-08'
'1536 3 february', '1536-02-03'
'feb 11 1806', '1806-02-11'
'sun 20 jun 1751', '1751-06-20'
'feb 10 1662', '1662-02-10'
'3 november 1645', '1645-11-03'
'february 16 1686', '1686-02-16'
'2059 8 sep', '2059-09-08'
'5/16/60', '1760-05-16'
'may 4 1857', '1857-05-04'
'monday 9 march 2043', '2043-03-09'
'30 september 1884', '1884-09-30'
'1 july 1868', '1868-07-01'
'10 july 2009', '2009-07-10'
'fri 1702 3 march', '1702-03-03'
'november 2 1624', '1624-11-02'
'1948 12 july', '1948-07-12'
'march 30 1580', '1580-03-30'
'sun 7 feb 1560', '1560-02-07'
'1981 30 apr', '1981-04-30'
'friday 1815 17 02', '1815-02-17'
'5/24/72', '1572-05-24'
'december 15 1897', '1897-12-15'
'24 october 2065', '2065-10-24'
'may 28 1882', '1882-05-28'
'sep 15 1589', '1589-09-15'
'dec 31 2047', '2047-12-31'
'28/10/1642', '1642-10-28'
'september 2 1957', '1957-09-02'
'sat 4 dec 1897', '1897-12-04'
'monday 2012 1 10', '2012-10-01'
'2/18/30', '1930-02-18'
'tuesday 1554 30 11', '1554-11-30'
'1638 27 november', '1638-11-27'
'september 14 1706', '1706-09-14'
'1670 23 jun', '1670-06-23'
'feb 13 1836', '1836-02-13'
'sep 28 1639', '1639-09-28'
'13 august 1815', '1815-08-13'
'april 5 1990', '1990-04-05'
'wednesday 21 august 1591', '1591-08-21'
'mar 21 1904', '1904-03-21'
'13 may 1634', '1634-05-13'
'sat 1912 17 february', '1912-02-17'
'may 22 2069', '2069-05-22'
'jul 14 1805', '1805-07-14'
'may 23 1706', '1706-05-23'
'04/05/1608', '1608-05-04'
'28 november 2017', '2017-11-28'
'23/12/1947', '1947-12-23'
'wednesday 4 july 1979', '1979-07-04'
'sunday 4 october 1767', '1767-10-04'
'august 21 1763', '1763-08-21'
'april 12 1607', '1607-04-12'
'13/06/1557', '1557-06-13'
'mar 5 1903', '1903-03-05'
'11 dec 2000', '2000-12-11'
'1805 26 mar', '1805-03-26'
'january 26 2017', '2017-01-26'
'may 7 1908', '1908-05-07'
'27 april 2059', '2059-04-27'
'2/21/70', '1870-02-21'
'friday april 17 1559', '1559-04-17'
'9 april 1993', '1993-04-09'
'1571 5 january', '1571-01-05'
'1 december 1720', '1720-12-01'
'13 october 1944', '1944-10-13'
'fri 4 jan 1754', '1754-01-04'
'18 may 1525', '1525-05-18'
'january 13 2044', '2044-01-13'
'wednesday 1907 1 05', '1907-05-01'
'february 17 1564', '1564-02-17'
'jan 15 1852', '1852-01-15'
'1989 14 feb', '1989-02-14'
'6/27/42', '1842-06-27'
'1675 13 aug', '1675-08-13'
'2 march 1874', '1874-03-02'
'30 may 1561', '1561-05-30'
'25 july 1699', '1699-07-25'
'22 september 1999', '1999-09-22'
'december 22 1728', '1728-12-22'
'friday august 7 1531', '1531-08-07'
'10 april 2010', '2010-04-10'
'friday december 20 2052', '2052-12-20'
'december 6 1999', '1999-12-06'
'aug 25 1625', '1625-08-25'
'19 april 1897', '1897-04-19'
'saturday may 15 1537', '1537-05-15'
'1970 31 august', '1970-08-31'
'august 31 1720', '1720-08-31'
'thursday january 18 1551', '1551-01-18'
'sunday november 20 1577', '1577-11-20'
'may 26 1958', '1958-05-26'
'november 13 1632', '1632-11-13'
'saturday june 29 1811', '1811-06-29'
'oct 16 1609', '1609-10-16'
'april 2 1638', '1638-04-02'
'july 6 1912', '1912-07-06'
'1981 12 july', '1981-07-12'
'august 22 1617', '1617-08-22'
'monday march 4 1782', '1782-03-04'
'6/24/84', '1784-06-24'
'2 april 1814', '1814-04-02'
'jun 7 1550', '1550-06-07'
'january 27 2048', '2048-01-27'
'mar 10 1703', '1703-03-10'
'march 20 1792', '1792-03-20'
'28 october 1953', '1953-10-28'
'1584 12 march', '1584-03-12'
'25 november 1681', '1681-11-25'
'august 10 1639', '1639-08-10'
'sunday october 10 2049', '2049-10-10'
'june 2 1837', '1837-06-02'
'26 january 1674', '1674-01-26'
'may 28 1666', '1666-05-28'
'june 19 2006', '2006-06-19'
'november 24 2062', '2062-11-24'
'6 october 1626', '1626-10-06'
'apr 30 1652', '1652-04-30'
'03/11/2039', '2039-11-03'
'oct 13 2016', '2016-10-13'
'saturday 25 march 2051', '2051-03-25'
'6 may 1765', '1765-05-06'
'october 26 1915', '1915-10-26'
'may 4 1793', '1793-05-04'
'jun 13 1696', '1696-06-13'
'thu 1732 27 november', '1732-11-27'
'27 october 2000', '2000-10-27'
'thursday 1738 23 01', '1738-01-23'
'friday may 7 1604', '1604-05-07'
'29 november 1962', '1962-11-29'
'may 8 1835', '1835-05-08'
'23/09/1588', '1588-09-23'
'16 july 1848', '1848-07-16'
'mar 15 1647', '1647-03-15'
'17/09/1553', '1553-09-17'
'26/09/2005', '2005-09-26'
'september 18 2067', '2067-09-18'
'jan 15 1542', '1542-01-15'
'november 17 1887', '1887-11-17'
'2042 25 january', '2042-01-25'
'sat 1770 22 december', '1770-12-22'
'19/05/1609', '1609-05-19'
'sunday december 25 1932', '1932-12-25'
'mon 20 aug 1646', '1646-08-20'
'may 6 1877', '1877-05-06'
'14 october 1850', '1850-10-14'
'17 march 2004', '2004-03-17'
'oct 15 1945', '1945-10-15'
'sat 3 oct 1981', '1981-10-03'
'july 20 1850', '1850-07-20'
'21 february 2005', '2005-02-21'
'sunday 1660 19 09', '1660-09-19'
'8/27/45', '1745-08-27'
'jun 1 1924', '1924-06-01'
'sunday december 13 1829', '1829-12-13'
'mon 29 dec 1903', '1902-12-29'
'1878 7 november', '1878-11-07'
'22 august 2057', '2057-08-22'
'nov 10 1543', '1543-11-10'
'november 25 1857', '1857-11-25'
'feb 11 1883', '1883-02-11'
'january 26 1671', '1671-01-26'
'jun 17 1557', '1557-06-17'
'27 april 1778', '1778-04-27'
'26 october 1988', '1988-10-26'
'friday april 15 1689', '1689-04-15'
'october 9 1721', '1721-10-09'
'february 28 1883', '1883-02-28'
'june 27 1774', '1774-06-27'
'9/15/57', '1657-09-15'
'october 23 1700', '1700-10-23'
'dec 10 1957', '1957-12-10'
'feb 12 1778', '1778-02-12'
'may 15 1604', '1604-05-15'
'wednesday august 18 1543', '1543-08-18'
'sunday august 15 1593', '1593-08-15'
'friday 21 october 1718', '1718-10-21'
'23/06/1834', '1834-06-23'
'14 apr 2068', '2068-04-14'
'17 july 2052', '2052-07-17'
'december 3 1818', '1818-12-03'
'aug 30 1982', '1982-08-30'
'sun 18 feb 1979', '1979-02-18'
'6/19/49', '2049-06-19'
'thursday september 30 1819', '1819-09-30'
'thu 1738 25 december', '1738-12-25'
'1600 28 september', '1600-09-28'
'december 26 1575', '1575-12-26'
'nov 3 1675', '1675-11-03'
'january 11 1756', '1756-01-11'
'1764 20 feb', '1764-02-20'
'28 november 1664', '1664-11-28'
'6 sep 1946', '1946-09-06'
'september 21 1769', '1769-09-21'
'jun 20 2044', '2044-06-20'
'11/19/45', '2045-11-19'
'5 jan 2063', '2063-01-05'
'sunday december 24 1673', '1673-12-24'
'mar 15 1525', '1525-03-15'
'march 31 1666', '1666-03-31'
'21 dec 1842', '1842-12-21'
'april 25 1706', '1706-04-25'
'sunday february 14 1610', '1610-02-14'
'01/11/1953', '1953-11-01'
'july 14 1674', '1674-07-14'
'sunday 1667 23 10', '1667-10-23'
'thursday july 14 1712', '1712-07-14'
'june 16 1956', '1956-06-16'
'dec 16 1957', '1957-12-16'
'tuesday december 2 1603', '1603-12-02'
'june 10 1829', '1829-06-10'
'thu 15 apr 1779', '1779-04-15'
'saturday january 22 2067', '2067-01-22'
'6 may 1853', '1853-05-06'
'7 june 1575', '1575-06-07'
'thursday 1986 24 04', '1986-04-24'
'june 27 2065', '2065-06-27'
'august 14 1699', '1699-08-14'
'7/9/36', '2036-07-09'
'2050 3 november', '2050-11-03'
'aug 17 1732', '1732-08-17'
'apr 4 1910', '1910-04-04'
'april 1 1791', '1791-04-01'
'nov 9 1966', '1966-11-09'
'april 18 1978', '1978-04-18'
'october 25 1802', '1802-10-25'
'february 13 1620', '1620-02-13'
'4/15/96', '1596-04-15'
'may 27 1600', '1600-05-27'
'jul 7 2055', '2055-07-07'
'march 23 1577', '1577-03-23'
'mon 1826 4 december', '1826-12-04'
'august 14 1558', '1558-08-14'
'january 4 2011', '2011-01-04'
'may 21 1659', '1659-05-21'
'wednesday 8 march 1645', '1645-03-08'
'july 9 1813', '1813-07-09'
'tue 2 sep 1664', '1664-09-02'
'november 15 1900', '1900-11-15'
'21 december 1716', '1716-12-21'
'july 12 2015', '2015-07-12'
'tuesday 4 january 1572', '1572-01-04'
'5 april 1854', '1854-04-05'
'1 november 1588', '1588-11-01'
'nov 21 1788', '1788-11-21'
'december 23 1781', '1781-12-23'
'september 21 2067', '2067-09-21'
'jul 11 1840', '1840-07-11'
'1 november 1599', '1599-11-01'
'monday 1655 18 01', '1655-01-18'
'february 2 1748', '1748-02-02'
'sun 1530 31 august', '1530-08-31'
'wednesday july 2 1727', '1727-07-02'
'oct 4 1772', '1772-10-04'
'15 december 2013', '2013-12-15'
'7 april 1842', '1842-04-07'
'2001 31 july', '2001-07-31'
'dec 1 1916', '1916-12-01'
'mon 18 mar 1799', '1799-03-18'
'2 december 1524', '1524-12-02'
'29 january 1675', '1675-01-29'
'10 february 2053', '2053-02-10'
'29 december 1595', '1595-12-29'
'27 sep 1759', '1759-09-27'
'jul 15 2036', '2036-07-15'
'august 12 1707', '1707-08-12'
'wed 25 feb 1863', '1863-02-25'
'1673 15 november', '1673-11-15'
'4 august 1526', '1526-08-04'
'sat 8 sep 2029', '2029-09-08'
'june 10 1908', '1908-06-10'
'sunday 1786 10 09', '1786-09-10'
'10 november 1980', '1980-11-10'
'august 21 1782', '1782-08-21'
'oct 16 2019', '2019-10-16'
'1 august 2056', '2056-08-01'
'1702 6 february', '1702-02-06'
'29 apr 1545', '1545-04-29'
'friday 1587 23 01', '1587-01-23'
'november 25 1751', '1751-11-25'
'sunday january 10 1982', '1982-01-10'
'october 1 1757', '1757-10-01'
'august 23 1549', '1549-08-23'
'july 10 1862', '1862-07-10'
'friday april 22 1667', '1667-04-22'
'sunday may 9 1548', '1548-05-09'
'tuesday 2 july 1974', '1974-07-02'
'30 mar 1806', '1806-03-30'
'27 january 2022', '2022-01-27'
'september 5 1861', '1861-09-05'
'may 16 1687', '1687-05-16'
'friday 1952 26 12', '1952-12-26'
'mar 9 1902', '1902-03-09'
'9 july 1598', '1598-07-09'
'march 23 1951', '1951-03-23'
'jan 2 1917', '1917-01-02'
'24 april 1738', '1738-04-24'
'june 30 1752', '1752-06-30'
'29 oct 1566', '1566-10-29'
'tue 1721 19 august', '1721-08-19'
'wednesday 1629 13 06', '1629-06-13'
'wednesday may 17 1522', '1522-05-17'
'2 october 1684', '1684-10-02'
'wed 4 aug 1976', '1976-08-04'
'july 9 1590', '1590-07-09'
'monday april 24 1741', '1741-04-24'
'november 9 2034', '2034-11-09'
'april 27 1673', '1673-04-27'
'wednesday april 2 1738', '1738-04-02'
'2049 20 jul', '2049-07-20'
'sep 7 1579', '1579-09-07'
'sat 1672 24 december', '1672-12-24'
'1626 29 october', '1626-10-29'
'1607 4 oct', '1607-10-04'
'8 october 1653', '1653-10-08'
'april 24 2071', '2071-04-24'
'november 28 1598', '1598-11-28'
'tue 1861 10 september', '1861-09-10'
'18 aug 1551', '1551-08-18'
'jul 2 1722', '1722-07-02'
'5/11/92', '1692-05-11'
'tuesday 28 july 1750', '1750-07-28'
'march 24 1683', '1683-03-24'
'saturday august 16 1975', '1975-08-16'
'16/05/1880', '1880-05-16'
'tuesday may 31 1735', '1735-05-31'
'jun 14 1813', '1813-06-14'
'september 10 1888', '1888-09-10'
'tue 1994 13 december', '1994-12-13'
'november 14 1969', '1969-11-14'
'september 14 1689', '1689-09-14'
'monday 1679 1 05', '1679-05-01'
'aug 20 1796', '1796-08-20'
'saturday 29 july 1730', '1730-07-29'
'19 january 1535', '1535-01-19'
'may 5 1576', '1576-05-05'
'9 may 1651', '1651-05-09'
'january 3 1856', '1856-01-03'
'monday november 14 2016', '2016-11-14'
'13 december 1821', '1821-12-13'
'fri 1695 25 february', '1695-02-25'
'tuesday 10 february 1931', '1931-02-10'
'14 march 1961', '1961-03-14'
'wednesday 1639 11 05', '1639-05-11'
'4 november 1863', '1863-11-04'
'17 april 1713', '1713-04-17'
'mar 25 1780', '1780-03-25'
'july 7 1669', '1669-07-07'
'16 june 1911', '1911-06-16'
'tue 4 jan 1944', '1944-01-04'
'friday october 27 1961', '1961-10-27'
'july 19 1883', '1883-07-19'
'19 jul 1896', '1896-07-19'
'july 23 1897', '1897-07-23'
'april 3 1732', '1732-04-03'
'friday 1915 27 08', '1915-08-27'
'february 2 1994', '1994-02-02'
'january 6 1927', '1927-01-06'
'january 8 1548', '1548-01-08'
'27 june 1829', '1829-06-27'
'january 28 1921', '1921-01-28'
'january 12 2002', '2002-01-12'
'wednesday 1978 1 11', '1978-11-01'
'20 october 1709', '1709-10-20'
'26 june 1613', '1613-06-26'
'nov 20 2008', '2008-11-20'
'jun 25 1953', '1953-06-25'
'tuesday 1569 18 11', '1569-11-18'
'monday 1675 29 04', '1675-04-29'
'monday 1957 6 05', '1957-05-06'
'15 march 1939', '1939-03-15'
'july 28 1663', '1663-07-28'
'mon 15 mar 1880', '1880-03-15'
'2067 30 october', '2067-10-30'
'saturday 2 june 1810', '1810-06-02'
'1959 14 dec', '1959-12-14'
'4 february 1761', '1761-02-04'
'thursday 16 january 1823', '1823-01-16'
'october 7 1845', '1845-10-07'
'jan 17 1718', '1718-01-17'
'september 24 1927', '1927-09-24'
'tuesday 20 february 1996', '1996-02-20'
'march 24 1818', '1818-03-24'
'tuesday june 11 1743', '1743-06-11'
'november 3 1748', '1748-11-03'
'15 june 1978', '1978-06-15'
'1 february 1649', '1649-02-01'
'9/13/67', '1667-09-13'
'jan 20 1913', '1913-01-20'
'sat 7 oct 1662', '1662-10-07'
'may 30 1922', '1922-05-30'
'5 june 1603', '1603-06-05'
'1870 28 october', '1870-10-28'
'1868 10 september', '1868-09-10'
'jun 23 1828', '1828-06-23'
'13/08/2014', '2014-08-13'
'18 april 1635', '1635-04-18'
'3/29/56', '1556-03-29'
'18 october 1895', '1895-10-18'
'friday 16 june 2000', '2000-06-16'
'1550 12 sep', '1550-09-12'
'1627 16 october', '1627-10-16'
'sat 1959 2 january', '1960-01-02'
'november 21 1556', '1556-11-21'
'9 march 1790', '1790-03-09'
'jul 7 1963', '1963-07-07'
'10 april 1925', '1925-04-10'
'june 5 1966', '1966-06-05'
'mon 1762 15 february', '1762-02-15'
'1798 27 august', '1798-08-27'
'thursday january 23 1851', '1851-01-23'
'fri 23 mar 1703', '1703-03-23'
'07/05/1556', '1556-05-07'
'june 9 1640', '1640-06-09'
'monday 1973 18 06', '1973-06-18'
'15 december 1792', '1792-12-15'
'2 may 1677', '1677-05-02'
'sun 16 aug 2020', '2020-08-16'
'sun 28 feb 1706', '1706-02-28'
'november 19 1547', '1547-11-19'
'wed 1857 23 december', '1857-12-23'
'tuesday april 3 2018', '2018-04-03'
'wed 2022 27 july', '2022-07-27'
'october 23 1657', '1657-10-23'
'october 23 1788', '1788-10-23'
'feb 12 1650', '1650-02-12'
'wednesday 22 november 1522', '1522-11-22'
'19/06/1704', '1704-06-19'
'21 mar 1678', '1678-03-21'
'jan 8 1537', '1537-01-08'
'2 oct 1889', '1889-10-02'
